stage,documents,PDTI_mean,PDTI_sd,readiness,evidence_density,instrument_entropy,rubric_entropy,stage_label
"S1 founding
1986-2005",25.0,4.451990858768572,1.9240886689024832,0.19450493476884173,4.114405732370079,0.5453667845607123,0.554639967974633,S1 founding
"S2 scaling
2006-2015",85.0,6.0443005728108705,1.7247818794756378,0.3464705715106283,5.143637913077008,0.6369870766904007,0.7029717963713422,S2 scaling
"S3 digital-quality
2016-2026",150.0,6.368008337096357,1.416806149015378,0.4318033554529098,5.425718496866593,0.6605993389067212,0.7138139900063153,S3 digital-quality
